20 38
-275078 44536 -278200 -141453 43912 -21754 -29241 -5808 -55141 2430 -28406 7040 1410 -6107 11027 -2538 2531 -33100 -64772 2480 1698 -3984 -7422 -4197 -1516 -9051 11056 -224 -13853 -1224 -7155 4032 1816 -395 1392 -9148 -13101 -8172
210514 -217667 220317 -79197 39236 -202648 -90318 21162 -2291 8699 -4657 72077 17808 41317 -4749 1579 -9774 26024 -73311 -15796 5102 8882 47014 51323 -177680 -83544 -5332 1973 42418 -13019 -13719 -1713 -542 -1791 -7882 -4844 -45889 36621
382370 355132 -63150 -109281 106536 -210641 103257 -16930 10634 -15683 -107391 180736 -16132 43265 -49921 9670 42488 76440 47624 -8046 -5176 4037 -18218 -16326 -6697 -32090 32573 24234 -22846 10996 47837 -51528 1772 269 9027 -3713 -7434 16644
101070 -141195 -123778 34139 -21828 82011 94366 733 -37677 5206 26151 45630 -8377 12358 -284 7081 13532 -53651 4476 -16755 -69125 73684 -38585 -18209 -1208 10134 55544 -8290 -88816 -91974 65423 23647 1096 -20068 -24320 12730 -53333 19047
166935 -132024 -91339 120098 -164276 111553 95481 -175 39599 3427 169691 99609 -23550 45328 24974 -10952 -22897 -77747 -25065 -3187 3544 8562 -8246 -8601 -5621 -9226 18809 -34790 -69519 -29263 26267 -69787 5977 -17763 -44913 10132 11675 -6875
-158879 -169833 -176020 -6526 92206 84741 -132143 -14223 -159326 1757 -89952 45016 -2803 -13679 -24367 6515 83411 -51297 -28209 6002 2027 -1584 7273 3348 8160 19594 -30996 -37934 -41630 5783 1631 -13619 4670 -2603 8326 -5905 -5205 -9803
136510 -157775 -116232 131283 -231427 -19904 21752 -1898 32721 2948 -49703 7209 -82254 -207896 12871 9500 -92011 33978 -29034 -23672 -118235 136174 -18600 49870 -61840 52733 -28908 -55760 5306 76219 -54904 20868 36753 15066 76473 -79281 23096 -29547
-109228 136434 -113260 -95420 75515 96724 -62872 21095 142891 3098 42399 -63416 15100 -25353 -352 -333 58988 -76421 46949 -177 -75351 45296 -16595 -2277 5848 35907 -14096 -36210 -56895 -98563 -20105 -19304 -7283 3323 17493 -27714 3387 -23
156286 -277466 237576 63561 -99466 -58173 -218419 11155 -98537 14265 106508 90807 -16309 19429 -15002 4028 26556 -25826 -18574 -1283 -911 -1167 -3291 -11897 2862 -19430 20147 15821 12411 9665 35182 -32426 -5424 628 -23873 24995 6401 -2151
109460 -33549 -94906 -41541 -81857 -187965 -148582 2232 -155106 12618 49462 -74107 6125 -12186 48513 -6653 -108718 14307 -121618 -5437 10077 -22111 -8327 -10908 -1155 -18974 21171 -40503 -98444 -3502 2392 -16121 6195 -3144 -16356 2499 485 -7993
